Chicago, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1960-2000
Missing: -99
Date,Value,Anomaly
201205,66.0,6.1
201206,74.4,5.2
201207,81.5,7.4
201208,73.7,1.3
201209,64.5,-0.1
201210,51.9,-1.6
201211,-99.0,-139.4
201212,36.6,8.9
201301,27.0,5.3
201302,26.5,-1.4
201303,33.1,-4.7
201304,47.3,-1.6
201305,61.4,1.5
201306,69.0,-0.2
201307,73.6,-0.5
201308,73.5,1.1
201309,67.6,3.0
201310,53.6,0.1
201311,37.9,-2.5
201312,23.9,-3.8
201401,16.3,-5.4
201402,17.9,-10.0
201403,32.2,-5.6
201404,49.0,0.1
201405,60.8,0.9
201406,71.4,2.2
201407,70.8,-3.3
201408,74.1,1.7
201409,64.4,-0.2
201410,52.4,-1.1
201411,34.1,-6.3
201412,32.5,4.8
201501,22.8,1.1
201502,15.2,-12.7
201503,35.9,-1.9
201504,49.8,0.9
201505,60.8,0.9
201506,67.8,-1.4
201507,72.8,-1.3
201508,72.2,-0.2
201509,69.4,4.8
201510,55.2,1.7
201511,45.0,4.6
201512,39.5,11.8
201601,25.2,3.5
201602,30.9,3.0
201603,43.8,6.0
201604,48.2,-0.7
201605,60.2,0.3
201606,72.0,2.8
201607,75.9,1.8
201608,76.2,3.8
201609,70.0,5.4
201610,57.3,3.8
201611,47.3,6.9
201612,25.6,-2.1
201701,29.3,7.6
201702,38.5,10.6
201703,39.5,1.7
201704,53.7,4.8
201705,57.9,-2.0
201706,72.4,3.2
201707,74.6,0.5
201708,71.5,-0.9
201709,69.4,4.8
201710,57.6,4.1
201711,39.7,-0.7
201712,27.3,-0.4
201801,24.8,3.1
201802,28.9,1.0
201803,37.0,-0.8
201804,41.3,-7.6
201805,66.1,6.2
201806,71.5,2.3
201807,76.2,2.1
201808,76.3,3.9
201809,69.0,4.4
201810,52.7,-0.8
201811,34.7,-5.7
201812,33.3,5.6
201901,21.1,-0.6
201902,26.0,-1.9
201903,34.4,-3.4
201904,49.7,0.8
201905,58.0,-1.9
201906,67.8,-1.4
201907,77.1,3.0
201908,72.9,0.5
201909,69.4,4.8
201910,50.9,-2.6
201911,34.8,-5.6
201912,34.0,6.3
202001,30.1,8.4
