New York (Central Park), New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
194103,34.8,-5.9
194104,56.0,4.7
194105,64.0,2.0
194106,71.3,0.0
194107,75.2,-1.1
194108,73.3,-1.3
194109,69.1,1.6
194110,59.6,2.7
194111,48.5,2.4
194112,37.3,1.5
194201,29.5,-2.1
194202,28.3,-4.9
194203,41.9,1.2
194204,53.0,1.7
194205,64.6,2.6
194206,70.4,-0.9
194207,75.7,-0.6
194208,72.8,-1.8
194209,67.4,-0.1
194210,57.6,0.7
194211,45.5,-0.6
194212,30.0,-5.8
194301,29.5,-2.1
194302,33.3,0.1
194303,39.1,-1.6
194304,45.2,-6.1
194305,61.8,-0.2
194306,75.6,4.3
194307,76.3,0.0
194308,75.1,0.5
194309,66.4,-1.1
194310,54.7,-2.2
194311,43.9,-2.2
194312,32.0,-3.8
194401,32.7,1.1
194402,31.9,-1.3
194403,36.5,-4.2
194404,48.0,-3.3
194405,66.3,4.3
194406,71.7,0.4
194407,78.8,2.5
194408,77.1,2.5
194409,69.1,1.6
194410,55.9,-1.0
194411,44.5,-1.6
194412,31.3,-4.5
194501,24.0,-7.6
194502,32.6,-0.6
194503,50.0,9.3
194504,54.8,3.5
194505,58.5,-3.5
194506,70.3,-1.0
194507,74.0,-2.3
194508,72.6,-2.0
194509,69.4,1.9
194510,55.1,-1.8
194511,46.1,0.0
194512,30.0,-5.8
194601,32.9,1.3
194602,30.4,-2.8
194603,48.7,8.0
194604,49.6,-1.7
194605,61.2,-0.8
194606,69.1,-2.2
194607,74.8,-1.5
194608,70.2,-4.4
194609,68.9,1.4
194610,60.6,3.7
194611,49.0,2.9
194612,37.1,1.3
194701,35.9,4.3
194702,28.0,-5.2
194703,36.7,-4.0
194704,49.6,-1.7
194705,59.2,-2.8
194706,67.8,-3.5
194707,74.9,-1.4
194708,75.2,0.6
194709,67.7,0.2
194710,62.5,5.6
194711,42.7,-3.4
194712,33.0,-2.8
194801,24.2,-7.4
194802,29.5,-3.7
194803,41.0,0.3
194804,50.1,-1.2
194805,59.4,-2.6
194806,68.9,-2.4
194807,76.6,0.3
194808,74.5,-0.1
194809,69.3,1.8
194810,55.5,-1.4
194811,51.0,4.9
194812,37.2,1.4
194901,37.4,5.8
194902,37.3,4.1
194903,41.8,1.1
194904,53.0,1.7
194905,62.3,0.3
194906,73.7,2.4
194907,79.0,2.7
194908,76.0,1.4
194909,65.3,-2.2
194910,62.0,5.1
194911,44.8,-1.3
194912,38.4,2.6
195001,40.2,8.6
195002,30.3,-2.9
195003,35.2,-5.5
195004,47.6,-3.7
195005,58.0,-4.0
195006,69.7,-1.6
195007,74.4,-1.9
195008,72.4,-2.2
195009,63.7,-3.8
195010,58.9,2.0
195011,46.9,0.8
195012,33.9,-1.9
195101,34.7,3.1
195102,34.9,1.7
195103,40.5,-0.2
195104,52.2,0.9
195105,62.6,0.6
195106,69.3,-2.0
195107,76.2,-0.1
195108,73.8,-0.8
195109,67.3,-0.2
195110,57.5,0.6
195111,42.0,-4.1
195112,36.6,0.8
195201,35.0,3.4
195202,34.9,1.7
195203,39.1,-1.6
195204,54.1,2.8
195205,60.0,-2.0
195206,73.0,1.7
195207,79.7,3.4
195208,74.2,-0.4
195209,69.0,1.5
195210,54.6,-2.3
195211,47.1,1.0
195212,37.4,1.6
195301,36.4,4.8
195302,37.2,4.0
195303,42.3,1.6
195304,51.5,0.2
195305,62.7,0.7
195306,73.0,1.7
195307,77.2,0.9
195308,75.1,0.5
195309,69.5,2.0
195310,59.6,2.7
195311,48.2,2.1
195312,40.3,4.5
195401,29.8,-1.8
195402,39.1,5.9
195403,40.6,-0.1
195404,53.1,1.8
195405,59.3,-2.7
195406,71.2,-0.1
195407,76.3,0.0
195408,72.1,-2.5
195409,66.7,-0.8
195410,60.8,3.9
195411,45.1,-1.0
195412,35.1,-0.7
195501,29.9,-1.7
195502,33.9,0.7
195503,40.8,0.1
195504,52.8,1.5
195505,64.8,2.8
195506,68.5,-2.8
195507,80.4,4.1
195508,77.6,3.0
195509,67.1,-0.4
195510,58.9,2.0
195511,43.0,-3.1
195512,28.8,-7.0
195601,31.0,-0.6
195602,35.5,2.3
195603,36.5,-4.2
195604,47.6,-3.7
195605,58.1,-3.9
195606,71.0,-0.3
195607,72.5,-3.8
195608,73.6,-1.0
195609,64.1,-3.4
195610,57.1,0.2
195611,45.4,-0.7
195612,40.0,4.2
195701,27.5,-4.1
195702,36.2,3.0
195703,41.0,0.3
195704,52.6,1.3
195705,62.5,0.5
195706,73.9,2.6
195707,77.3,1.0
195708,73.0,-1.6
195709,69.0,1.5
195710,55.3,-1.6
195711,48.1,2.0
195712,39.4,3.6
195801,30.8,-0.8
195802,26.3,-6.9
195803,39.4,-1.3
195804,52.2,0.9
195805,58.5,-3.5
195806,66.8,-4.5
195807,75.7,-0.6
195808,74.6,0.0
195809,66.8,-0.7
195810,54.6,-2.3
195811,46.7,0.6
195812,28.5,-7.3
195901,30.2,-1.4
195902,31.0,-2.2
195903,39.2,-1.5
195904,53.1,1.8
195905,65.8,3.8
195906,70.8,-0.5
195907,75.9,-0.4
195908,76.9,2.3
195909,71.6,4.1
195910,58.9,2.0
195911,44.5,-1.6
195912,37.5,1.7
196001,32.8,1.2
196002,35.2,2.0
196003,32.5,-8.2
196004,53.3,2.0
196005,62.1,0.1
196006,71.4,0.1
196007,74.1,-2.2
196008,74.3,-0.3
196009,67.3,-0.2
196010,57.1,0.2
196011,48.4,2.3
196012,30.1,-5.7
196101,26.7,-4.9
196102,35.5,2.3
196103,40.6,-0.1
196104,48.3,-3.0
196105,59.3,-2.7
196106,72.0,0.7
196107,77.6,1.3
196108,75.8,1.2
196109,72.8,5.3
196110,60.2,3.3
196111,47.4,1.3
196112,34.6,-1.2
196201,31.5,-0.1
196202,30.7,-2.5
196203,42.2,1.5
196204,52.6,1.3
196205,63.8,1.8
196206,72.1,0.8
196207,73.6,-2.7
196208,71.8,-2.8
196209,64.2,-3.3
196210,56.4,-0.5
196211,41.9,-4.2
196212,30.6,-5.2
196301,29.1,-2.5
196302,27.1,-6.1
196303,42.8,2.1
196304,53.0,1.7
196305,60.6,-1.4
196306,70.5,-0.8
196307,76.0,-0.3
196308,71.5,-3.1
196309,62.3,-5.2
196310,60.9,4.0
196311,49.1,3.0
196312,30.3,-5.5
